Semana;Ranking;Autor;Semanas en ranking
1 de enero;1;Colleen Hoover;9
1 de enero;2;Colleen Hoover;79
1 de enero;3;Bonnie Garmus;6
1 de enero;4;Colleen Hoover;54
1 de enero;5;John Grisham;9
1 de enero;6;Stephen King;15
1 de enero;7;Delia Owens;191
1 de enero;8;Colleen Hoover;49
1 de enero;9;Barbara Kingsolver;6
1 de enero;10;Taylor Jenkins Reid;76
1 de enero;11;Nicholas Sparks;6
1 de enero;12;Louise Penny;3
1 de enero;13;Colleen Hoover;34
1 de enero;14;Gabrielle Zevin;2
1 de enero;15;Jodi Picoult and Jennifer Finney Boylan;9
1 de enero;1;Michelle Obama;5
1 de enero;2;Jennette McCurdy;19
1 de enero;3;Matthew Perry;7
1 de enero;4;Bono;7
1 de enero;5; Stacy Schiff;8
1 de enero;6;Bessel van der Kolk;121
1 de enero;7;Jon Meacham;9
1 de enero;8;Randall Munroe;8
1 de enero;9;Bob Dylan;7
1 de enero;10;Siddhartha Mukherjee;8
1 de enero;11;Mike Pence;5
1 de enero;12;Rush Limbaugh with Kathryn Adams Limbaugh and David Limbaugh;4
1 de enero;13;Robin Wall Kimmerer;59
1 de enero;14;Ed Yong;8
1 de enero;15;Patti Smith;3
8 de enero;1;Colleen Hoover;10
8 de enero;2;Colleen Hoover;80
8 de enero;3;Bonnie Garmus;7
8 de enero;4;Colleen Hoover;55
8 de enero;5;John Grisham;10
8 de enero;6;Stephen King;16
8 de enero;7;Delia Owens;192
8 de enero;8;Colleen Hoover;50
8 de enero;9;Taylor Jenkins Reid;77
8 de enero;10;Barbara Kingsolver;7
8 de enero;11;Nicholas Sparks;7
8 de enero;12;Colleen Hoover;35
8 de enero;13;Alex Michaelides;51
8 de enero;14;James Patterson;5
8 de enero;15;Jodi Picoult and Jennifer Finney Boylan;10
8 de enero;1;Michelle Obama;6
8 de enero;2;Jennette McCurdy;20
8 de enero;3;Matthew Perry;8
8 de enero;4;Bono;8
8 de enero;5;Bessel van der Kolk;122
8 de enero;6;Stacy Schiff;9
8 de enero;7;Jon Meacham;10
8 de enero;8;Ed Yong;9
8 de enero;9;Bob Dylan;8
8 de enero;10;Rush Limbaugh with Kathryn Adams Limbaugh and David Limbaugh;5
8 de enero;11;Mike Pence;6
8 de enero;12;Randall Munroe;9
8 de enero;13;Siddhartha Mukherjee;9
8 de enero;14;Robin Wall Kimmerer;60
8 de enero;15;Mel Brooks;4
15 de enero;1;Colleen Hoover;11
15 de enero;2;Bonnie Garmus;8
15 de enero;3;Colleen Hoover;81
15 de enero;4;Colleen Hoover;56
15 de enero;5;Taylor Jenkins Reid;78
15 de enero;6;Jodi Picoult and Jennifer Finney Boylan;11
15 de enero;7;Colleen Hoover;51
15 de enero;8;Gabrielle Zevin;3
15 de enero;9;John Grisham;11
15 de enero;10;Michael Connelly;6
15 de enero;11;Nicholas Sparks;8
15 de enero;12;Barbara Kingsolver;8
15 de enero;13;Alex Michaelides;52
15 de enero;14;Stephen King;17
