Semana;Categoría;Ranking;Título;Autor;Semanas en ranking;Género
02 de enero 2022;Combined Print & E-Book Fiction;1;CALL US WHAT WE CARRY;Amanda Gorman;2;Poesía
02 de enero 2022;Combined Print & E-Book Fiction;2;THE JUDGE'S LIST; John Grisham;9;Thriller
02 de enero 2022;Combined Print & E-Book Fiction;3;THE LINCOLN HIGHWAY;Amor Towles;11;Coming of age
02 de enero 2022;Combined Print & E-Book Fiction;4;IT ENDS WITH US;Colleen Hoover;27;Romance
02 de enero 2022;Combined Print & E-Book Fiction;5;THE STRANGER IN THE LIFEBOAT;Mitch Albom;7;Misterio histórico 
02 de enero 2022;Combined Print & E-Book Fiction;6;GO TELL THE BEES THAT I AM GONE;Diana Gabaldon;4;Ciencia Ficción
02 de enero 2022;Combined Print & E-Book Fiction;7;THE WISH;Nicholas Sparks;12;Romance
02 de enero 2022;Combined Print & E-Book Fiction;8;WISH YOU WERE HERE;Jodi Picoult;3;Thriller
02 de enero 2022;Combined Print & E-Book Fiction;9;FEAR NO EVIL;James Patterson;3;Thriller
02 de enero 2022;Combined Print & E-Book Fiction;10;CLOUD CUCKOO LAND;Anthony Doerr;10;Ciencia Ficción
02 de enero 2022;Combined Print & E-Book Fiction;11;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;25;Romance
02 de enero 2022;Combined Print & E-Book Fiction;12;THE MIDNIGHT LIBRARY;Matt Haig;46;Ciencia Ficción
02 de enero 2022;Combined Print & E-Book Fiction;13;THE LAST THING HE TOLD ME;Laura Dave;27;Thriller
02 de enero 2022;Combined Print & E-Book Fiction;14;VERITY;Colleen Hoover;3;Thriller
02 de enero 2022;Combined Print & E-Book Fiction;15;WHERE THE CRAWDADS SING; Delia Owens;148;Thriller
02 de enero 2022;Combined Print & E-Book Nonfiction;1;THE 1619 PROJECT;Nikole Hannah-Jones;5;Historia
02 de enero 2022;Combined Print & E-Book Nonfiction;2;THE STORYTELLER; Dave Grohl;11;Autobiografía
02 de enero 2022;Combined Print & E-Book Nonfiction;3;WILL;Will Smith;6;Autobiografía
02 de enero 2022;Combined Print & E-Book Nonfiction;4;THE LYRICS: 1956 TO THE PRESENT;Paul McCartney;7;Biografía
02 de enero 2022;Combined Print & E-Book Nonfiction;5;TASTE;Stanley Tucci;10;Autobiografía
02 de enero 2022;Combined Print & E-Book Nonfiction;6;ALL AMERICAN CHRISTMAS;Rachel Campos-Duffy and Sean Duffy;5;Biografia 
02 de enero 2022;Combined Print & E-Book Nonfiction;7;THE PRESIDENT AND THE FREEDOM FIGHTER; Brian Kilmeade;7;Biografia 
02 de enero 2022;Combined Print & E-Book Nonfiction;8;ALL ABOUT LOVE;Bell Hooks;1;Autoayuda
02 de enero 2022;Combined Print & E-Book Nonfiction;9;THE BEATLES: GET BACK; the Beatles;6;Biografía
02 de enero 2022;Combined Print & E-Book Nonfiction;10;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;69;Autoayuda
02 de enero 2022;Combined Print & E-Book Nonfiction;11;RENEGADES;Barack Obama and Bruce Springsteen;7;Política
02 de enero 2022;Combined Print & E-Book Nonfiction;12;THE REAL ANTHONY FAUCI;Robert F. Kennedy Jr.;5;Política
02 de enero 2022;Combined Print & E-Book Nonfiction;13;THESE PRECIOUS DAYS;Ann Patchett;4;Ensayo
02 de enero 2022;Combined Print & E-Book Nonfiction;14;GREENLIGHTS;Matthew McConaughey;48;Autobiografía
02 de enero 2022;Combined Print & E-Book Nonfiction;15;THE DAWN OF EVERYTHING; David Graeber and David Wengrow;4;Historia
9 de enero 2022 ;Combined Print & E-Book Fiction;1;THE JUDGE'S LIST; John Grisham;10;Thriller
9 de enero 2022 ;Combined Print & E-Book Fiction;2;THE STRANGER IN THE LIFEBOAT;Mitch Albom;8;Misterio histórico 
9 de enero 2022 ;Combined Print & E-Book Fiction;3;IT ENDS WITH US;Colleen Hoover;28;Romance
9 de enero 2022 ;Combined Print & E-Book Fiction;4;THE LINCOLN HIGHWAY; Amor Towles;12;Coming of age
9 de enero 2022 ;Combined Print & E-Book Fiction;5;CALL US WHAT WE CARRY;Amanda Gorman;3;Poesía
9 de enero 2022 ;Combined Print & E-Book Fiction;6;THE WISH; Nicholas Sparks;13;Romance
9 de enero 2022 ;Combined Print & E-Book Fiction;7;GO TELL THE BEES THAT I AM GONE;Diana Gabaldon;5;Ciencia Ficción
9 de enero 2022 ;Combined Print & E-Book Fiction;8;WISH YOU WERE HERE;Jodi Picoult;4;Thriller
9 de enero 2022 ;Combined Print & E-Book Fiction;9;CLOUD CUCKOO LAND;Anthony Doerr;11;Ciencia Ficción
