Titulo;autor;;;likes;comentarios;views;guardados
It ends with us;Colleen Hoover;;;12600;154;44600;1740
It ends with us;Colleen Hoover;;;1,200,000;10700;16,800,000;421.7
In five years;Revecca Serle;;;1200000;10700;16800000;421.7
Los siete maridos de Evelyn Hugo;Taylor Jenkins;;;1200000;10700;16800000;421.7
Asesinato para principiantes;Holly Jackson;;;1200000;10700;16800000;421.7
Every last word;Tamara Ireland;;;1200000;10700;16800000;421.7
Better than the movies;Lynn Painter;;;1200000;10700;16800000;421.7
The upside of falling;Alex Light;;;1200000;10700;16800000;421.7
The ex talk;Rachel Lynn;;;1200000;10700;16800000;421.7
Ugly love;Colleen Hoover;;;44,7;279;709,5;7909
People we meet on vacation;Emily Henry;;;44,7;279;709,5;7909
Crave;Tracy Wolff;;;44,7;279;709,5;7909
November 9;Colleen Hoover;;;44,7;279;709,5;7909
All you perfects;Colleen Hoover;;;44,7;279;709,5;7909
It ends with us;Colleen Hoover;;;44,7;279;709,5;7909
Hopeless;Colleen Hoover;;;44,7;279;709,5;7909
The seven husbands of evelyn Hugo;Taylor Jenkin Reid;;;212.600;1065;3.600.000;83.700
Archer's voice;Mia Sheridan;;;212.600;1065;3.600.000;83.700
A court of mist and fury;Sarah J Mass;;;212.600;1065;3.600.000;83.700
Malibu Rising;Taylor Jenkin Reid;;;212.600;1065;3.600.000;83.700
The song of achilles;Madeline miller;;;212.600;1065;3.600.000;83.700
Love hypothesis;Ali Hazelwood;;;32.000;116;352.200;8920
De sangre y cenizas;Jennifer L Armentrout;;;32.000;116;352.200;8920
The unhoneymooners;Lauren billings;;;32.000;116;352.200;8920
Ugly love;colleen hoover;;;32.000;116;352.200;8920
it end with us;colleen hoover;;;32.000;116;352.200;8920
A little life;Hanya Yanagihara;;;94.800;850;1.500.000;39.700
Verity;colleen hoover;;;94.800;850;1.500.000;39.700
reminders of him;colleen hoover;;;94.800;850;1.500.000;39.700
things we never got over;Lucy Score;;;94.800;850;1.500.000;39.700
Book Lovers;Emily Henry;;;53.600;341;626.200;14.700
Verity;colleen hoover;;;53.600;341;626.200;14.700
The witches of moonshyne manor;Bianca Marais;;;53.600;341;626.200;14.700
it end with us;colleen hoover;;;16.800.000;10.600;2.800.000;421.700
Five years;Rebecca Serle;;;16.800.000;10.600;2.800.000;421.700
the seven husbands of evelyn Hugo;Taylor Jenkin Reid;;;16.800.000;10.600;2.800.000;421.700
A good  girl's guide to murder;Holly Jackson;;;16.800.000;10.600;2.800.000;421.700
Better than the movies;Lynn Painter;;;16.800.000;10.600;2.800.000;421.700
;;;;;;;
The Bully;G. Gerngross, Herbert Puchta;Drama;2001;157.000;1002;1.800.000;29400
Seven days in june;Tia Williams;Novela;2021;157.000;1002;1.800.000;29400
